mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
1.381,0.729,5.956,0.42,0.601,0.276,7.252,174.007,0.0
1.488,0.712,5.208,0.415,0.611,0.295,6.53,165.941,0.0
1.52,0.698,4.76,0.421,0.618,0.314,6.113,243.369,0.0
1.655,0.689,4.447,0.389,0.606,0.315,5.756,276.252,0.0
1.8,0.675,4.343,0.389,0.621,0.319,5.672,422.697,0.0
1.93,0.675,4.032,0.392,0.619,0.326,5.368,219.682,0.0
2.028,0.665,3.991,0.369,0.617,0.331,5.308,151.375,0.0
2.08,0.676,3.907,0.38,0.612,0.342,5.241,207.406,0.0
2.103,0.672,3.774,0.365,0.614,0.346,5.099,155.804,0.0
2.171,0.659,3.739,0.374,0.627,0.352,5.092,156.59,0.0
